Index Number,Stop Number,Common Stop Name,Street Name,Town Name,Latitude,Longitude
IE0,7010PB003857,Ballymagroarty,Aileach Road,Derry,55.0203, -7.3480
IE1,7010PB003858,Coshquin,Buncrana Road,Coshquin,55.0336,-7.3578
IE2,7010PB003859,Culmore Point,Culmore Road,Derry,55.0457,-7.2744
IE3,7010PB003860,Culmore Point,Culmore Road,Derry,55.0457,-7.2743
IE4,158131,Ulsterbus Depot,Foyle Stree,Derry,54.9966,-7.3179
IE5,12537,Derry Patrick Street,Patrick Street,Derry,55.0,-7.3223
IE6,13223,Water Street,Water Street,Derry,54.9961,-7.3173
IE7,701000004,Dungiven,Main Street,Dungiven,54.9251,-6.9201
IE8,701000005,Dungiven,Main Street,Dungiven,54.9238, -6.9187
IE9,701000003,Guild Hall,Shipquay Place,Derry,54.9975,-7.3192
IE10,158241,Magee Campus,Boating Club Lane,Derry,55.0029,-7.3220
IE11,7010GA00002,Magilligan Point, Point Road,Limavady,55.191,-6.9658
IE12,13225,Derry Foyleside,Foyle Street,Derry,54.9941,-7.3173
IE13,13224,Drumahoe Park and Ride,Tirbracken Road,Derry,54.9745,-7.2584
IE14,7010GA12754,Ballycastle,Ballycastle,Ballycastle,55.2079,-6.2405
IE15,7010GA12755,Rathlin Island,Rathlin Island,Rathlin Island,55.2927,-6.1952
IE16,7020IR2162,Belfast Grand Central,Boyne Bridge Place,Belfast,54.5951, -5.9386
IE17,7020IR0037,Lisburn Train Station,Bachelors Walk,Lisburn,54.5137, -6.0451
IE18,702000000241,Jury's Inn,Great Victoria Street,Belfast,54.5963,-5.9348
IE19,702000006268,Downpatrick Bus Station,Market Street,Downpatrick,54.3259,-5.7197
IE20,702000007262,Downpatrick Bus Station,Market Street,Downpatrick,54.3259,-5.7197
IE21,702000000240,Europa Bus Centre,Glengall Street,Belfast,54.5946,-5.9366
IE22,702000015363,Europa Bus Centre,Glengall Street,Belfast,54.5945,-5.9366
IE23,702000015422,Europa Bus Centre,Glengall Street,Belfast,54.5951,-5.9363
IE24,7020GA00001,Strangford,The Slip,Strangford,54.3715,-5.555
IE25,7020GA00002,Portaferry,The Strand,Portaferry,54.3807,-5.55
IE26,156091,Glengall Street,Glengall Street,Belfast,54.5951,-5.9372
IE27,13226,Belfast International Airport,,Belfast,54.6624,-6.2179
IE28,703000007629,Clough,Main Street,Clough,54.2917,-5.8376
IE29,703000007708,Clough,Main Street,Clough,54.2919,-5.8376
IE30,703000004183,Banbridge,Newry Street,Banbridge,54.3465,-6.2715
IE31,7040IR0090,Lurgan Train Station,William Street,Lurgan,54.467,-6.3385
IE32,7040IR0042,Newry Train Station,Newry Bypass,Newry,54.1887,-6.3624
IE33,7040IR0045,Portadown Train Station,Northway,Portadown,54.425,-6.4453
IE34,704000004126,Hilltown,Main Street,Newry,54.1949,-6.1457
IE35,704000004127,Hilltown,Main Street,Newry,54.1948,-6.1454
IE36,704000004096,Rathfriland,Church Street,Newry,54.2366,-6.1585
IE37,158011,Lonsdale Road Bus Station,Londsdale Road,Armagh,54.3524,-6.6543
IE38,704000000235,Lonsdale Road Bus Station,Londsdale Road,Armagh,54.3523,-6.6543
IE39,7040B558051,Portadown,High Street,Portadown,54.4218,-6.4456
IE40,7040B558021,Portadown,Market Street,Portadown,54.4228,-6.4434
IE41,7040B558041,Lurgan,Aghacommon Embankment,Lurgan,54.4672,-6.3999
IE42,704000007336,Castlewellan,Main Street,Newry,54.2571,-5.9444
IE43,704000007346,Castlewellan,Main Street,Newry,54.257,-5.9444
IE44,704000007623,Dundrum,Main Street,Dundrum,54.2576,-5.8444
IE45,704000007714,Dundrum,Main Street,Dundrum,54.2576,-5.8442
IE46,139781,Meigh Cross,Dublin Road,Newry,54.1159,-6.3571
IE47,139771,Killeen Bridge,Forkhill Road,Newry,54.131,-6.3465
IE48,139491,Buttercrane Shopping Centre,Buttercrane Quay,Newry,54.1729,-6.341
IE49,139501,Newry,Buttercrane Quay,Newry,54.1722,-6.3404
IE50,139481,Newry,Merchant's Quay,Newry,54.1683,-6.3391
IE51,107131,Cullaville,Concession Road,Cullaville,54.062,-6.6435
IE52,704000004120,Mayobridge,Newry Road,Mayobridge,54.1805,-6.2313
IE53,704000004133,Mayobridge,Newry Road,Mayobridge,54.1805,-6.2311
IE54,704000006235,Newcastle,Railway Street,Newcastle,54.215,-5.8883
IE55,704000007728,Newcastle,Railway Street,Newcastle,54.215,-5.8883
IE56,704000015104,Kilcoo,Main Street,Kilcoo,54.2313,-6.0306
IE57,704000015105,Kilcoo,Main Street,Kilcoo,54.2314,-6.0307
IE58,156051,Newry,Downshire Road,Newry,54.176,-6.3395
IE59,150611,Southern Regional College,Patrick Street,Newry,54.1765,-6.3454
IE60,156061,Newry Bus Station,Merchants Quay,Newry,54.175,-6.3401
IE61,7040GA00004,Greencastle,Greencastle Pier Road,Kilkeel,54.0382,-6.0989
IE62,139761,Killeen Bridge,Forkhill Road,Newry,54.131,-6.3461
IE63,139511,Newry (Opp Quay Shopping Centre),Albert Basin,Newry,54.1687,-6.339
IE64,139791,Meigh Cross (Service Station),Dublin Road,Jonesborough,54.1159,-6.3573
IE65,14972,Crossmaglen,The Square,Crossmaglen,54.0772,-6.6072
IE66,14973,Cullaville,Concession Road,Cullaville,54.0624,-6.6436
IE67,14974,Cullaville,Cullaville Road,Cullaville,54.063,-6.6429
IE68,108081,Enniskillen,Friths Pass,Enniskillen,54.3437,-7.6401
IE69,140901,Bellanaleck,Derrylin Road,Bellanaleck,54.295,-7.638
IE70,631071,Loughview Drive,Sligo Road,Belcoo,54.2974,-7.8701
IE71,141551,Bellanaleck,Derrylin Road,Bellanaleck,54.2951,-7.6378
IE72,141561,Derrylin,Main Street,Derrylin,54.1917,-7.5657
IE73,140871,Derrylin,Main Street,Derrylin,54.1917,-7.5659
IE74,630101,Letterbreen,Sligo Road,Letterbreen,54.3095,-7.7322
IE75,630091,Letterbreen,Sligo Road,Letterbreen,54.3093,-7.7327
IE76,705000000227,Lisnarick,Main Street,Lisnarick,54.4746,-7.7011
IE77,705000000228,Lisnarick,Main Street,Lisnarick,54.4746,-7.7012
IE78,705000000232,Shore Road Car Park,Shore Road,Enniskillen,54.3435,-7.638
IE79,705000000233,Shore Road Car Park,Shore Road,Enniskillen,54.3436,-7.638
IE80,705000000220,Derrylin,Main Street,Derrylin,54.2,-7.5759
IE81,705000000219,Derrylin,Main Street,Derrylin,54.1999,-7.576
IE82,141541,Belleek,Main Street,Belleek,54.4762,-8.0945
IE83,600271,Lisnarick,Main Street,Lisnarick,54.4765,-7.699
IE84,600281,Lisnarick,Main Street,Lisnarick,54.4764,-7.699
IE85,631001,Belcoo,Sligo Road,Belcoo,54.2973,-7.8699
IE86,600291,Kesh,Main Street,Kesh,54.5226,-7.7227
IE87,7050B600311,Kesh,Main Street,Kesh,54.5225,-7.7225
IE88,7060000001,Omagh,Mountjoy Road,Omagh,54.6107,-7.3233
IE89,13812,Strabane,Bradley Way,Strabane,54.8315,-7.4697
IE90,157111,Newtownstewart,Townhall Street,Newtownstewart,54.7219,-7.373
IE91,158141,Sion Mills,Melmount Road,Sion Mills,54.7858,-7.4723
IE92,152481,Sion Mills,Melmount Road,Sion Mills,54.7843,-7.4716
IE93,158101,Newtownstewart,Townhall Street,Newtownstewart,54.7218,-7.373
IE94,706000009127,Dungannon,Annahvil Road,Dungannon,54.501,-6.7741
IE95,706000009239,Dungannon,Annahvil Road,Dungannon,54.501,-6.7741
IE96,706000015376,Ballygawley,Tullybryan Road,Ballygawley,54.4563,-7.0339
IE97,706000006,Toome,Main Street,Toome,54.7602,-6.4609
IE98,156031,Ballygawley,Tullybryan Road,Ballygawley,54.4563,-7.0339
IE99,158181,Canal Street,Canal Street,Strabane,54.8277,-7.4638
IE100,158031,Ulsterbus Depot,Drumragh Avenue,Omagh,54.6013,-7.3018
IE101,158121,Bradley Way,Bradley Way,Strabane,54.8265,-7.4701
IE102,14066,Straughroy,Gortin Road,Omagh,54.6131,-7.325
IE103,14065,Straughroy,Gortin Road,Omagh,54.613,-7.3251
IE104,14744,Ballygawley,Omagh Road,Ballygawley,54.4592,-7.033
IE105,14745,Ballygawley,Omagh Road,Ballygawley,54.4591,-7.033
IE106,14746,Aughnacloy,Moore Street,Aughnacloy,54.4151,-6.9766
IE107,14759,Strabane,Bradley Way,Strabane,54.8314,-7.4695
IE108,598121,SETU Carlow,Kilkenny Road,Carlow,52.8301,-6.9361
IE109,136211,Rathvilly,Phelan Street,Rathvilly,52.8806,-6.6956
IE110,821000011,Barrack Street,Barrack Street,Carlow,52.8354,-6.9254
